Gred SSM,"Kadar 
(RM/Sehari)"
AA19,40
AA22,40
AA48,60
AL54,60
BA19,40
BA21,40
BA22,40
BA29,50
BA41,60
CA19,40
CA41,60
DV19,40
DV29,50
DV38,50
EA22,40
EA29,50
EA41,60
FA29,50
FA32,50
FA41,60
FT19,40
GA19,40
GA22,40
GA26,40
GA29,50
GA41,60
GA44,60
GV52,60
HA19,40
HA22,40
HA26,40
JA17,40
JA19,40
JA22,40
JA26,40
JA29,50
JA36,50
JA38,50
JA41,60
JA44,60
JA48,60
JA52,60
KP19,40
KP22,40
KP26,40
KP29,50
KP32,50
KP41,60
LA29,50
LA41,60
LA48,60
LA52,60
NA17,40
NA19,40
NA22,40
NA26,40
NA29,50
NA30,50
NA32,50
NA36,50
NA41,60
NA44,60
NA48,60
NA52,60
NA54,60
NT19,40
NT22,40
NT26,40
NT29,50
NT32,50
QA19,40
QA29,50
SA19,40
SA27,50
SA29,50
SA32,50
SA41,60
SA44,60
SA48,60
SA52,60
UA29,50
UA32,50
VU02,60
VU03,60
VU04,60
VU05,60
VU06,60
VU07,60
VU5,60
VU6,60
VU7,60
WA19,40
WA22,40
WA29,50
WA32,50
WA36,50
WA41,60
WA44,60
WA48,60
WA54,60
WK32,50
