Gred SSM,Kadar (RM/Sehari)
AA19,18
AA22,18
AA48,25
AL54,25
BA19,18
BA21,18
BA22,18
BA29,20
BA41,25
CA19,18
CA41,25
DV19,18
DV29,20
DV38,20
EA22,18
EA29,20
EA41,25
FA29,20
FA32,20
FA41,25
FT19,18
GA19,18
GA22,18
GA26,18
GA29,20
GA41,25
GA44,25
GV52,25
HA19,18
HA22,18
HA26,18
JA17,18
JA19,18
JA22,18
JA26,18
JA29,20
JA36,20
JA38,20
JA41,25
JA44,25
JA48,25
JA52,25
KP19,18
KP22,18
KP26,18
KP29,20
KP32,20
KP41,25
LA29,20
LA41,25
LA48,25
LA52,25
NA17,18
NA19,18
NA22,18
NA26,18
NA29,20
NA30,20
NA32,20
NA36,20
NA41,25
NA44,25
NA48,25
NA52,25
NA54,25
NT19,18
NT22,18
NT26,18
NT29,20
NT32,20
QA19,18
QA29,20
SA19,18
SA27,20
SA29,20
SA32,20
SA41,25
SA44,25
SA48,25
SA52,25
UA29,20
UA32,20
VU02,25
VU03,25
VU04,25
VU05,25
VU06,25
VU07,25
VU5,25
VU6,25
VU7,25
WA19,18
WA22,18
WA29,20
WA32,20
WA36,20
WA41,25
WA44,25
WA48,25
WA54,25
WK32,20
