Gred SSM,Kadar,Had Maksimum
AA19,120,1/2 gaji pokok
AA22,120,
AA48,200,
AL54,250,
BA19,120,
BA21,120,
BA22,120,
BA29,120,
BA41,150,
CA19,120,
CA41,150,
DV19,120,
DV29,120,
DV38,120,
EA22,120,
EA29,120,
EA41,150,
FA29,120,
FA32,120,
FA41,150,
FT19,120,
GA19,120,
GA22,120,
GA26,120,
GA29,120,
GA41,150,
GA44,150,
GV52,200,
HA19,120,
HA22,120,
HA26,120,
JA17,120,
JA19,120,
JA22,120,
JA26,120,
JA29,120,
JA36,120,
JA38,120,
JA41,150,
JA44,150,
JA48,200,
JA52,200,
KP19,120,
KP22,120,
KP26,120,
KP29,120,
KP32,120,
KP41,150,
LA29,120,
LA41,150,
LA48,200,
LA52,200,
NA17,120,
NA19,120,
NA22,120,
NA26,120,
NA29,120,
NA30,120,
NA32,120,
NA36,120,
NA41,150,
NA44,150,
NA48,200,
NA52,200,
NA54,250,
NT19,120,
NT22,120,
NT26,120,
NT29,120,
NT32,120,
QA19,120,
QA29,120,
SA19,120,
SA27,120,
SA29,120,
SA32,120,
SA41,150,
SA44,150,
SA48,200,
SA52,200,
UA29,120,
UA32,120,
VU02,350,
VU03,350,
VU04,350,
VU05,350,
VU06,350,
VU07,350,
VU5,350,
VU6,350,
VU7,350,
WA19,120,
WA22,120,
WA29,120,
WA32,120,
WA36,120,
WA41,150,
WA44,150,
WA48,200,
WA54,250,
WK32,120,
