Gred SSPA,"Kadar 
(RM/Sehari)"
A1,40
A2,40
A5,50
A6,50
A7,50
AA01,40
AL10,60
AL12,60
AL9,60
B1,40
B10,60
B12,60
B2,40
B3,40
B5,50
B9,60
C1,40
C10,60
C12,60
C13,60
C14,60
C2,40
C3,40
C5,50
C6,50
C7,50
C9,60
DG1,40
DG10,60
DG12,60
DG4,50
DG5,50
DG6,50
DG9,60
DV1,40
E1,40
E10,60
E12,60
E14,60
E2,40
E5,50
E6,50
E9,60
F10,60
F12,60
F13,60
F14,60
F5,50
F6,50
F7,50
F9,60
FT1,40
FT2,40
FT3,40
G1,40
G10,60
G11,60
G12,60
G13,60
G14,60
G2,40
G3,40
G5,50
G6,50
G7,50
G9,60
GA11,60
GA14,60
GV10,60
GV12,60
GV13,60
GV14,60
GV9,60
H1,40
H11,60
H2,40
H3,40
HA11,60
HA14,60
J1,40
J10,60
J12,60
J13,60
J14,60
J2,40
J3,40
J5,50
J6,50
J7,50
J9,60
JA1,40
K1,40
K2,40
K5,50
KP1,40
KP10,60
KP11,60
KP12,60
KP14,60
KP2,40
KP3,40
KP5,50
KP6,50
KP7,50
KP9,60
KR14,60
L1,40
L10,60
L12,60
L13,60
L14,60
L2,40
L3,40
L5,50
L6,50
L7,50
L9,60
LS12,60
LS5,50
LS6,50
LS9,60
N1,40
N10,60
N11,60
N12,60
N13,60
N14,60
N2,40
N3,40
N4,50
N5,50
N6,50
N7,50
N9,60
NA01,40
NA04,50
NA11,60
NA14,60
NT1,40
NT2,40
NT3,40
NT5,50
NT6,50
Q1,40
Q10,60
Q12,60
Q13,60
Q14,60
Q2,40
Q3,40
Q5,50
Q6,50
Q9,60
R1,40
RA01,40
RA03,40
RA04,50
RA06,50
RA09,60
S1,40
S10,60
S12,60
S13,60
S2,40
S3,40
S4,50
S5,50
S6,50
S7,50
S9,60
U1,40
U10,60
U5,50
U6,50
U9,60
UA03,40
W1,40
W10,60
W12,60
W13,60
W14,60
W2,40
W3,40
W5,50
W6,50
W7,50
W9,60
WA1,40
WA10,60
WA12,60
WA9,60
Y10,60
Y4,50
Y5,50
YA05,50
YA10,60
