Gred SSPA,"Kadar 
(RM/Sehari)"
A1,18
A2,18
A5,20
A6,20
A7,20
AA01,18
AL10,25
AL12,25
AL9,25
B1,18
B10,25
B12,25
B2,18
B3,18
B5,20
B9,25
C1,18
C10,25
C12,25
C13,25
C14,25
C2,18
C3,18
C5,20
C6,20
C7,20
C9,25
DG1,18
DG10,25
DG12,25
DG4,20
DG5,20
DG6,20
DG9,25
DV1,18
E1,18
E10,25
E12,25
E14,25
E2,18
E5,20
E6,20
E9,25
F10,25
F12,25
F13,25
F14,25
F5,20
F6,20
F7,20
F9,25
FT1,18
FT2,18
FT3,18
G1,18
G10,25
G11,25
G12,25
G13,25
G14,25
G2,18
G3,18
G5,20
G6,20
G7,20
G9,25
GA11,25
GA14,25
GV10,25
GV12,25
GV13,25
GV14,25
GV9,25
H1,18
H11,25
H2,18
H3,18
HA11,25
HA14,25
J1,18
J10,25
J12,25
J13,25
J14,25
J2,18
J3,18
J5,20
J6,20
J7,20
J9,25
JA1,18
K1,18
K2,18
K5,20
KP1,18
KP10,25
KP11,25
KP12,25
KP14,25
KP2,18
KP3,18
KP5,20
KP6,20
KP7,20
KP9,25
KR14,25
L1,18
L10,25
L12,25
L13,25
L14,25
L2,18
L3,18
L5,20
L6,20
L7,20
L9,25
LS12,25
LS5,20
LS6,20
LS9,25
N1,18
N10,25
N11,25
N12,25
N13,25
N14,25
N2,18
N3,18
N4,20
N5,20
N6,20
N7,20
N9,25
NA01,18
NA04,20
NA11,25
NA14,25
NT1,18
NT2,18
NT3,18
NT5,20
NT6,20
Q1,18
Q10,25
Q12,25
Q13,25
Q14,25
Q2,18
Q3,18
Q5,20
Q6,20
Q9,25
R1,18
RA01,18
RA03,18
RA04,20
RA06,20
RA09,25
S1,18
S10,25
S12,25
S13,25
S2,18
S3,18
S4,20
S5,20
S6,20
S7,20
S9,25
U1,18
U10,25
U5,20
U6,20
U9,25
UA03,18
W1,18
W10,25
W12,25
W13,25
W14,25
W2,18
W3,18
W5,20
W6,20
W7,20
W9,25
WA1,18
WA10,25
WA12,25
WA9,25
Y10,25
Y4,20
Y5,20
YA05,20
YA10,25
