Gred SSPA,Kadar (RM/sejam),Had maksimum 
A1,90,1/2 gaji pokok
A2,90,
A5,90,
A6,90,
A7,90,
AA01,90,
AL10,100,
AL12,100,
AL9,100,
B1,90,
B10,100,
B12,100,
B2,90,
B3,90,
B5,90,
B9,100,
C1,90,
C10,100,
C12,100,
C13,100,
C14,120,
C2,90,
C3,90,
C5,90,
C6,90,
C7,90,
C9,100,
DG1,90,
DG10,100,
DG12,100,
DG4,90,
DG5,90,
DG6,90,
DG9,100,
DV1,90,
E1,90,
E10,100,
E12,100,
E14,120,
E2,90,
E5,90,
E6,90,
E9,100,
F10,100,
F12,100,
F13,100,
F14,120,
F5,90,
F6,90,
F7,90,
F9,100,
FT1,90,
FT2,90,
FT3,90,
G1,90,
G10,100,
G11,100,
G12,100,
G13,100,
G14,120,
G2,90,
G3,90,
G5,90,
G6,90,
G7,90,
G9,100,
GA11,100,
GA14,120,
GV10,100,
GV12,100,
GV13,100,
GV14,120,
GV9,100,
H1,90,
H11,100,
H2,90,
H3,90,
HA11,100,
HA14,120,
J1,90,
J10,100,
J12,100,
J13,100,
J14,120,
J2,90,
J3,90,
J5,90,
J6,90,
J7,90,
J9,100,
JA1,90,
K1,90,
K2,90,
K5,90,
KP1,90,
KP10,100,
KP11,100,
KP12,100,
KP14,120,
KP2,90,
KP3,90,
KP5,90,
KP6,90,
KP7,90,
KP9,100,
KR14,120,
L1,90,
L10,100,
L12,100,
L13,100,
L14,120,
L2,90,
L3,90,
L5,90,
L6,90,
L7,90,
L9,100,
LS12,100,
LS5,90,
LS6,90,
LS9,100,
N1,90,
N10,100,
N11,100,
N12,100,
N13,100,
N14,120,
N2,90,
N3,90,
N4,90,
N5,90,
N6,90,
N7,90,
N9,100,
NA01,90,
NA04,90,
NA11,100,
NA14,120,
NT1,90,
NT2,90,
NT3,90,
NT5,90,
NT6,90,
Q1,90,
Q10,100,
Q12,100,
Q13,100,
Q14,120,
Q2,90,
Q3,90,
Q5,90,
Q6,90,
Q9,100,
R1,90,
RA01,90,
RA03,90,
RA04,90,
RA06,90,
RA09,100,
S1,90,
S10,100,
S12,100,
S13,100,
S2,90,
S3,90,
S4,90,
S5,90,
S6,90,
S7,90,
S9,100,
U1,90,
U10,100,
U5,90,
U6,90,
U9,100,
UA03,90,
W1,90,
W10,100,
W12,100,
W13,100,
W14,120,
W2,90,
W3,90,
W5,90,
W6,90,
W7,90,
W9,100,
WA1,90,
WA10,100,
WA12,100,
WA9,100,
Y10,100,
Y4,90,
Y5,90,
YA05,90,
YA10,100,
