"","field","gred","skim","kadar"
"1","AA","19","ssm",120
"2","AA","22","ssm",120
"3","BA","19","ssm",120
"4","BA","21","ssm",120
"5","BA","22","ssm",120
"6","BA","29","ssm",120
"7","CA","19","ssm",120
"8","DV","19","ssm",120
"9","DV","29","ssm",120
"10","DV","38","ssm",120
"11","EA","22","ssm",120
"12","EA","29","ssm",120
"13","FA","29","ssm",120
"14","FA","32","ssm",120
"15","FT","19","ssm",120
"16","GA","19","ssm",120
"17","GA","22","ssm",120
"18","GA","26","ssm",120
"19","GA","29","ssm",120
"20","HA","19","ssm",120
"21","HA","22","ssm",120
"22","HA","26","ssm",120
"23","JA","17","ssm",120
"24","JA","19","ssm",120
"25","JA","22","ssm",120
"26","JA","26","ssm",120
"27","JA","29","ssm",120
"28","JA","36","ssm",120
"29","JA","38","ssm",120
"30","KP","19","ssm",120
"31","KP","22","ssm",120
"32","KP","26","ssm",120
"33","KP","29","ssm",120
"34","KP","32","ssm",120
"35","LA","29","ssm",120
"36","NA","17","ssm",120
"37","NA","19","ssm",120
"38","NA","22","ssm",120
"39","NA","26","ssm",120
"40","NA","29","ssm",120
"41","NA","30","ssm",120
"42","NA","32","ssm",120
"43","NA","36","ssm",120
"44","NT","19","ssm",120
"45","NT","22","ssm",120
"46","NT","26","ssm",120
"47","NT","29","ssm",120
"48","NT","32","ssm",120
"49","QA","19","ssm",120
"50","QA","29","ssm",120
"51","SA","19","ssm",120
"52","SA","27","ssm",120
"53","SA","29","ssm",120
"54","SA","32","ssm",120
"55","UA","29","ssm",120
"56","UA","32","ssm",120
"57","WA","19","ssm",120
"58","WA","22","ssm",120
"59","WA","29","ssm",120
"60","WA","32","ssm",120
"61","WA","36","ssm",120
"62","WK","32","ssm",120
"63","BA","41","ssm",150
"64","CA","41","ssm",150
"65","EA","41","ssm",150
"66","FA","41","ssm",150
"67","GA","41","ssm",150
"68","GA","44","ssm",150
"69","JA","41","ssm",150
"70","JA","44","ssm",150
"71","KP","41","ssm",150
"72","LA","41","ssm",150
"73","NA","41","ssm",150
"74","NA","44","ssm",150
"75","SA","41","ssm",150
"76","SA","44","ssm",150
"77","WA","41","ssm",150
"78","WA","44","ssm",150
"79","AA","48","ssm",200
"80","GV","52","ssm",200
"81","JA","48","ssm",200
"82","JA","52","ssm",200
"83","LA","48","ssm",200
"84","LA","52","ssm",200
"85","NA","48","ssm",200
"86","NA","52","ssm",200
"87","SA","48","ssm",200
"88","SA","52","ssm",200
"89","WA","48","ssm",200
"90","AL","54","ssm",250
"91","NA","54","ssm",250
"92","WA","54","ssm",250
"93","VU","02","gred utama khas",350
"94","VU","03","gred utama khas",350
"95","VU","04","gred utama khas",350
"96","VU","05","gred utama khas",350
"97","VU","06","gred utama khas",350
"98","VU","07","gred utama khas",350
"99","VU","5","gred utama khas",350
"100","VU","6","gred utama khas",350
"101","VU","7","gred utama khas",350
"102","A","1","sspa",120
"103","A","2","sspa",120
"104","A","5","sspa",120
"105","A","6","sspa",120
"106","A","7","sspa",120
"107","AA","01","sspa",120
"108","AL","10","sspa",150
"109","AL","12","sspa",200
"110","AL","9","sspa",150
"111","B","1","sspa",120
"112","B","10","sspa",150
"113","B","12","sspa",200
"114","B","2","sspa",120
"115","B","3","sspa",120
"116","B","5","sspa",120
"117","B","9","sspa",150
"118","C","1","sspa",120
"119","C","10","sspa",150
"120","C","12","sspa",200
"121","C","13","sspa",200
"122","C","14","sspa",250
"123","C","2","sspa",120
"124","C","3","sspa",120
"125","C","5","sspa",120
"126","C","6","sspa",120
"127","C","7","sspa",120
"128","C","9","sspa",150
"129","DG","1","sspa",120
"130","DG","10","sspa",150
"131","DG","12","sspa",200
"132","DG","4","sspa",120
"133","DG","5","sspa",120
"134","DG","6","sspa",120
"135","DG","9","sspa",150
"136","DV","1","sspa",120
"137","E","1","sspa",120
"138","E","10","sspa",150
"139","E","12","sspa",200
"140","E","14","sspa",250
"141","E","2","sspa",120
"142","E","5","sspa",120
"143","E","6","sspa",120
"144","E","9","sspa",150
"145","F","10","sspa",150
"146","F","12","sspa",200
"147","F","13","sspa",200
"148","F","14","sspa",250
"149","F","5","sspa",120
"150","F","6","sspa",120
"151","F","7","sspa",120
"152","F","9","sspa",150
"153","FT","1","sspa",120
"154","FT","2","sspa",120
"155","FT","3","sspa",120
"156","G","1","sspa",120
"157","G","10","sspa",150
"158","G","11","sspa",200
"159","G","12","sspa",200
"160","G","13","sspa",200
"161","G","14","sspa",250
"162","G","2","sspa",120
"163","G","3","sspa",120
"164","G","5","sspa",120
"165","G","6","sspa",120
"166","G","7","sspa",120
"167","G","9","sspa",150
"168","GA","11","sspa",200
"169","GA","14","sspa",250
"170","GV","10","sspa",150
"171","GV","12","sspa",200
"172","GV","13","sspa",200
"173","GV","14","sspa",250
"174","GV","9","sspa",150
"175","H","1","sspa",120
"176","H","11","sspa",200
"177","H","2","sspa",120
"178","H","3","sspa",120
"179","HA","11","sspa",200
"180","HA","14","sspa",250
"181","J","1","sspa",120
"182","J","10","sspa",150
"183","J","12","sspa",200
"184","J","13","sspa",200
"185","J","14","sspa",250
"186","J","2","sspa",120
"187","J","3","sspa",120
"188","J","5","sspa",120
"189","J","6","sspa",120
"190","J","7","sspa",120
"191","J","9","sspa",150
"192","JA","1","sspa",120
"193","K","1","sspa",120
"194","K","2","sspa",120
"195","K","5","sspa",120
"196","KP","1","sspa",120
"197","KP","10","sspa",150
"198","KP","11","sspa",200
"199","KP","12","sspa",200
"200","KP","14","sspa",250
"201","KP","2","sspa",120
"202","KP","3","sspa",120
"203","KP","5","sspa",120
"204","KP","6","sspa",120
"205","KP","7","sspa",120
"206","KP","9","sspa",150
"207","KR","14","sspa",250
"208","L","1","sspa",120
"209","L","10","sspa",150
"210","L","12","sspa",200
"211","L","13","sspa",200
"212","L","14","sspa",250
"213","L","2","sspa",120
"214","L","3","sspa",120
"215","L","5","sspa",120
"216","L","6","sspa",120
"217","L","7","sspa",120
"218","L","9","sspa",150
"219","LS","12","sspa",200
"220","LS","5","sspa",120
"221","LS","6","sspa",120
"222","LS","9","sspa",150
"223","N","1","sspa",120
"224","N","10","sspa",150
"225","N","11","sspa",200
"226","N","12","sspa",200
"227","N","13","sspa",200
"228","N","14","sspa",250
"229","N","2","sspa",120
"230","N","3","sspa",120
"231","N","4","sspa",120
"232","N","5","sspa",120
"233","N","6","sspa",120
"234","N","7","sspa",120
"235","N","9","sspa",150
"236","NA","01","sspa",120
"237","NA","04","sspa",120
"238","NA","11","sspa",200
"239","NA","14","sspa",250
"240","NT","1","sspa",120
"241","NT","2","sspa",120
"242","NT","3","sspa",120
"243","NT","5","sspa",120
"244","NT","6","sspa",120
"245","Q","1","sspa",120
"246","Q","10","sspa",150
"247","Q","12","sspa",200
"248","Q","13","sspa",200
"249","Q","14","sspa",250
"250","Q","2","sspa",120
"251","Q","3","sspa",120
"252","Q","5","sspa",120
"253","Q","6","sspa",120
"254","Q","9","sspa",150
"255","R","1","sspa",120
"256","RA","01","sspa",120
"257","RA","03","sspa",120
"258","RA","04","sspa",120
"259","RA","06","sspa",120
"260","RA","09","sspa",150
"261","S","1","sspa",120
"262","S","10","sspa",150
"263","S","12","sspa",200
"264","S","13","sspa",200
"265","S","2","sspa",120
"266","S","3","sspa",120
"267","S","4","sspa",120
"268","S","5","sspa",120
"269","S","6","sspa",120
"270","S","7","sspa",120
