"","field","gred","skim","kadar"
"1","AA","19","ssm",90
"2","AA","22","ssm",90
"3","BA","19","ssm",90
"4","BA","21","ssm",90
"5","BA","22","ssm",90
"6","BA","29","ssm",90
"7","CA","19","ssm",90
"8","DV","19","ssm",90
"9","DV","29","ssm",90
"10","DV","38","ssm",90
"11","EA","22","ssm",90
"12","EA","29","ssm",90
"13","FA","29","ssm",90
"14","FA","32","ssm",90
"15","FT","19","ssm",90
"16","GA","19","ssm",90
"17","GA","22","ssm",90
"18","GA","26","ssm",90
"19","GA","29","ssm",90
"20","HA","19","ssm",90
"21","HA","22","ssm",90
"22","HA","26","ssm",90
"23","JA","17","ssm",90
"24","JA","19","ssm",90
"25","JA","22","ssm",90
"26","JA","26","ssm",90
"27","JA","29","ssm",90
"28","JA","36","ssm",90
"29","JA","38","ssm",90
"30","KP","19","ssm",90
"31","KP","22","ssm",90
"32","KP","26","ssm",90
"33","KP","29","ssm",90
"34","KP","32","ssm",90
"35","LA","29","ssm",90
"36","NA","17","ssm",90
"37","NA","19","ssm",90
"38","NA","22","ssm",90
"39","NA","26","ssm",90
"40","NA","29","ssm",90
"41","NA","30","ssm",90
"42","NA","32","ssm",90
"43","NA","36","ssm",90
"44","NT","19","ssm",90
"45","NT","22","ssm",90
"46","NT","26","ssm",90
"47","NT","29","ssm",90
"48","NT","32","ssm",90
"49","QA","19","ssm",90
"50","QA","29","ssm",90
"51","SA","19","ssm",90
"52","SA","27","ssm",90
"53","SA","29","ssm",90
"54","SA","32","ssm",90
"55","UA","29","ssm",90
"56","UA","32","ssm",90
"57","WA","19","ssm",90
"58","WA","22","ssm",90
"59","WA","29","ssm",90
"60","WA","32","ssm",90
"61","WA","36","ssm",90
"62","WK","32","ssm",90
"63","AA","48","ssm",100
"64","BA","41","ssm",100
"65","CA","41","ssm",100
"66","EA","41","ssm",100
"67","FA","41","ssm",100
"68","GA","41","ssm",100
"69","GA","44","ssm",100
"70","GV","52","ssm",100
"71","JA","41","ssm",100
"72","JA","44","ssm",100
"73","JA","48","ssm",100
"74","JA","52","ssm",100
"75","KP","41","ssm",100
"76","LA","41","ssm",100
"77","LA","48","ssm",100
"78","LA","52","ssm",100
"79","NA","41","ssm",100
"80","NA","44","ssm",100
"81","NA","48","ssm",100
"82","NA","52","ssm",100
"83","SA","41","ssm",100
"84","SA","44","ssm",100
"85","SA","48","ssm",100
"86","SA","52","ssm",100
"87","WA","41","ssm",100
"88","WA","44","ssm",100
"89","WA","48","ssm",100
"90","AL","54","ssm",120
"91","NA","54","ssm",120
"92","VU","02","gred utama khas",120
"93","VU","03","gred utama khas",120
"94","VU","04","gred utama khas",120
"95","VU","05","gred utama khas",120
"96","VU","06","gred utama khas",120
"97","VU","07","gred utama khas",120
"98","VU","5","gred utama khas",120
"99","VU","6","gred utama khas",120
"100","VU","7","gred utama khas",120
"101","WA","54","ssm",120
"102","A","1","sspa",90
"103","A","2","sspa",90
"104","A","5","sspa",90
"105","A","6","sspa",90
"106","A","7","sspa",90
"107","AA","01","sspa",90
"108","AL","10","sspa",100
"109","AL","12","sspa",100
"110","AL","9","sspa",100
"111","B","1","sspa",90
"112","B","10","sspa",100
"113","B","12","sspa",100
"114","B","2","sspa",90
"115","B","3","sspa",90
"116","B","5","sspa",90
"117","B","9","sspa",100
"118","C","1","sspa",90
"119","C","10","sspa",100
"120","C","12","sspa",100
"121","C","13","sspa",100
"122","C","14","sspa",120
"123","C","2","sspa",90
"124","C","3","sspa",90
"125","C","5","sspa",90
"126","C","6","sspa",90
"127","C","7","sspa",90
"128","C","9","sspa",100
"129","DG","1","sspa",90
"130","DG","10","sspa",100
"131","DG","12","sspa",100
"132","DG","4","sspa",90
"133","DG","5","sspa",90
"134","DG","6","sspa",90
"135","DG","9","sspa",100
"136","DV","1","sspa",90
"137","E","1","sspa",90
"138","E","10","sspa",100
"139","E","12","sspa",100
"140","E","14","sspa",120
"141","E","2","sspa",90
"142","E","5","sspa",90
"143","E","6","sspa",90
"144","E","9","sspa",100
"145","F","10","sspa",100
"146","F","12","sspa",100
"147","F","13","sspa",100
"148","F","14","sspa",120
"149","F","5","sspa",90
"150","F","6","sspa",90
"151","F","7","sspa",90
"152","F","9","sspa",100
"153","FT","1","sspa",90
"154","FT","2","sspa",90
"155","FT","3","sspa",90
"156","G","1","sspa",90
"157","G","10","sspa",100
"158","G","11","sspa",100
"159","G","12","sspa",100
"160","G","13","sspa",100
"161","G","14","sspa",120
"162","G","2","sspa",90
"163","G","3","sspa",90
"164","G","5","sspa",90
"165","G","6","sspa",90
"166","G","7","sspa",90
"167","G","9","sspa",100
"168","GA","11","sspa",100
"169","GA","14","sspa",120
"170","GV","10","sspa",100
"171","GV","12","sspa",100
"172","GV","13","sspa",100
"173","GV","14","sspa",120
"174","GV","9","sspa",100
"175","H","1","sspa",90
"176","H","11","sspa",100
"177","H","2","sspa",90
"178","H","3","sspa",90
"179","HA","11","sspa",100
"180","HA","14","sspa",120
"181","J","1","sspa",90
"182","J","10","sspa",100
"183","J","12","sspa",100
"184","J","13","sspa",100
"185","J","14","sspa",120
"186","J","2","sspa",90
