"","field","gred","skim","kadar"
"1","AA","19","ssm",40
"2","AA","22","ssm",40
"3","BA","19","ssm",40
"4","BA","21","ssm",40
"5","BA","22","ssm",40
"6","CA","19","ssm",40
"7","DV","19","ssm",40
"8","EA","22","ssm",40
"9","FT","19","ssm",40
"10","GA","19","ssm",40
"11","GA","22","ssm",40
"12","GA","26","ssm",40
"13","HA","19","ssm",40
"14","HA","22","ssm",40
"15","HA","26","ssm",40
"16","JA","17","ssm",40
"17","JA","19","ssm",40
"18","JA","22","ssm",40
"19","JA","26","ssm",40
"20","KP","19","ssm",40
"21","KP","22","ssm",40
"22","KP","26","ssm",40
"23","NA","17","ssm",40
"24","NA","19","ssm",40
"25","NA","22","ssm",40
"26","NA","26","ssm",40
"27","NT","19","ssm",40
"28","NT","22","ssm",40
"29","NT","26","ssm",40
"30","QA","19","ssm",40
"31","SA","19","ssm",40
"32","WA","19","ssm",40
"33","WA","22","ssm",40
"34","BA","29","ssm",50
"35","DV","29","ssm",50
"36","DV","38","ssm",50
"37","EA","29","ssm",50
"38","FA","29","ssm",50
"39","FA","32","ssm",50
"40","GA","29","ssm",50
"41","JA","29","ssm",50
"42","JA","36","ssm",50
"43","JA","38","ssm",50
"44","KP","29","ssm",50
"45","KP","32","ssm",50
"46","LA","29","ssm",50
"47","NA","29","ssm",50
"48","NA","30","ssm",50
"49","NA","32","ssm",50
"50","NA","36","ssm",50
"51","NT","29","ssm",50
"52","NT","32","ssm",50
"53","QA","29","ssm",50
"54","SA","27","ssm",50
"55","SA","29","ssm",50
"56","SA","32","ssm",50
"57","UA","29","ssm",50
"58","UA","32","ssm",50
"59","WA","29","ssm",50
"60","WA","32","ssm",50
"61","WA","36","ssm",50
"62","WK","32","ssm",50
"63","AA","48","ssm",60
"64","AL","54","ssm",60
"65","BA","41","ssm",60
"66","CA","41","ssm",60
"67","EA","41","ssm",60
"68","FA","41","ssm",60
"69","GA","41","ssm",60
"70","GA","44","ssm",60
"71","GV","52","ssm",60
"72","JA","41","ssm",60
"73","JA","44","ssm",60
"74","JA","48","ssm",60
"75","JA","52","ssm",60
"76","KP","41","ssm",60
"77","LA","41","ssm",60
"78","LA","48","ssm",60
"79","LA","52","ssm",60
"80","NA","41","ssm",60
"81","NA","44","ssm",60
"82","NA","48","ssm",60
"83","NA","52","ssm",60
"84","NA","54","ssm",60
"85","SA","41","ssm",60
"86","SA","44","ssm",60
"87","SA","48","ssm",60
"88","SA","52","ssm",60
"89","VU","02","gred utama khas",60
"90","VU","03","gred utama khas",60
"91","VU","04","gred utama khas",60
"92","VU","05","gred utama khas",60
"93","VU","06","gred utama khas",60
"94","VU","07","gred utama khas",60
"95","VU","5","gred utama khas",60
"96","VU","6","gred utama khas",60
