"","field","gred","skim","kadar"
"1","AA","19","ssm",18
"2","AA","22","ssm",18
"3","BA","19","ssm",18
"4","BA","21","ssm",18
"5","BA","22","ssm",18
"6","CA","19","ssm",18
"7","DV","19","ssm",18
"8","EA","22","ssm",18
"9","FT","19","ssm",18
"10","GA","19","ssm",18
"11","GA","22","ssm",18
"12","GA","26","ssm",18
"13","HA","19","ssm",18
"14","HA","22","ssm",18
"15","HA","26","ssm",18
"16","JA","17","ssm",18
"17","JA","19","ssm",18
"18","JA","22","ssm",18
"19","JA","26","ssm",18
"20","KP","19","ssm",18
"21","KP","22","ssm",18
"22","KP","26","ssm",18
"23","NA","17","ssm",18
"24","NA","19","ssm",18
"25","NA","22","ssm",18
"26","NA","26","ssm",18
"27","NT","19","ssm",18
"28","NT","22","ssm",18
"29","NT","26","ssm",18
"30","QA","19","ssm",18
"31","SA","19","ssm",18
"32","WA","19","ssm",18
"33","WA","22","ssm",18
"34","BA","29","ssm",20
"35","DV","29","ssm",20
"36","DV","38","ssm",20
"37","EA","29","ssm",20
"38","FA","29","ssm",20
"39","FA","32","ssm",20
"40","GA","29","ssm",20
"41","JA","29","ssm",20
"42","JA","36","ssm",20
"43","JA","38","ssm",20
"44","KP","29","ssm",20
"45","KP","32","ssm",20
"46","LA","29","ssm",20
"47","NA","29","ssm",20
"48","NA","30","ssm",20
"49","NA","32","ssm",20
"50","NA","36","ssm",20
"51","NT","29","ssm",20
"52","NT","32","ssm",20
"53","QA","29","ssm",20
"54","SA","27","ssm",20
"55","SA","29","ssm",20
"56","SA","32","ssm",20
"57","UA","29","ssm",20
"58","UA","32","ssm",20
"59","WA","29","ssm",20
"60","WA","32","ssm",20
"61","WA","36","ssm",20
"62","WK","32","ssm",20
"63","AA","48","ssm",25
"64","AL","54","ssm",25
"65","BA","41","ssm",25
"66","CA","41","ssm",25
"67","EA","41","ssm",25
"68","FA","41","ssm",25
"69","GA","41","ssm",25
"70","GA","44","ssm",25
"71","GV","52","ssm",25
"72","JA","41","ssm",25
"73","JA","44","ssm",25
"74","JA","48","ssm",25
"75","JA","52","ssm",25
"76","KP","41","ssm",25
"77","LA","41","ssm",25
"78","LA","48","ssm",25
"79","LA","52","ssm",25
"80","NA","41","ssm",25
"81","NA","44","ssm",25
"82","NA","48","ssm",25
"83","NA","52","ssm",25
"84","NA","54","ssm",25
"85","SA","41","ssm",25
"86","SA","44","ssm",25
"87","SA","48","ssm",25
"88","SA","52","ssm",25
"89","VU","02","gred utama khas",25
"90","VU","03","gred utama khas",25
"91","VU","04","gred utama khas",25
"92","VU","05","gred utama khas",25
"93","VU","06","gred utama khas",25
"94","VU","07","gred utama khas",25
"95","VU","5","gred utama khas",25
"96","VU","6","gred utama khas",25
"97","VU","7","gred utama khas",25
"98","WA","41","ssm",25
"99","WA","44","ssm",25
"100","WA","48","ssm",25
"101","WA","54","ssm",25
"102","A","1","sspa",18
"103","A","2","sspa",18
"104","A","5","sspa",20
"105","A","6","sspa",20
"106","A","7","sspa",20
"107","AA","01","sspa",18
"108","AL","10","sspa",25
"109","AL","12","sspa",25
"110","AL","9","sspa",25
"111","B","1","sspa",18
"112","B","10","sspa",25
"113","B","12","sspa",25
"114","B","2","sspa",18
"115","B","3","sspa",18
"116","B","5","sspa",20
"117","B","9","sspa",25
"118","C","1","sspa",18
"119","C","10","sspa",25
"120","C","12","sspa",25
"121","C","13","sspa",25
"122","C","14","sspa",25
"123","C","2","sspa",18
"124","C","3","sspa",18
