"","field","gred","skim","kelas"
"1","AA","19","ssm","Ekonomi"
"2","AA","22","ssm","Ekonomi"
"3","AA","48","ssm","Ekonomi"
"4","AL","54","ssm","Ekonomi"
"5","BA","19","ssm","Ekonomi"
"6","BA","21","ssm","Ekonomi"
"7","BA","22","ssm","Ekonomi"
"8","BA","29","ssm","Ekonomi"
"9","BA","41","ssm","Ekonomi"
"10","CA","19","ssm","Ekonomi"
"11","CA","41","ssm","Ekonomi"
"12","DV","19","ssm","Ekonomi"
"13","DV","29","ssm","Ekonomi"
"14","DV","38","ssm","Ekonomi"
"15","EA","22","ssm","Ekonomi"
"16","EA","29","ssm","Ekonomi"
"17","EA","41","ssm","Ekonomi"
"18","FA","29","ssm","Ekonomi"
"19","FA","32","ssm","Ekonomi"
"20","FA","41","ssm","Ekonomi"
"21","FT","19","ssm","Ekonomi"
"22","GA","19","ssm","Ekonomi"
"23","GA","22","ssm","Ekonomi"
"24","GA","26","ssm","Ekonomi"
"25","GA","29","ssm","Ekonomi"
"26","GA","41","ssm","Ekonomi"
"27","GA","44","ssm","Ekonomi"
"28","GV","52","ssm","Ekonomi"
"29","HA","19","ssm","Ekonomi"
"30","HA","22","ssm","Ekonomi"
"31","HA","26","ssm","Ekonomi"
"32","JA","17","ssm","Ekonomi"
"33","JA","19","ssm","Ekonomi"
"34","JA","22","ssm","Ekonomi"
"35","JA","26","ssm","Ekonomi"
"36","JA","29","ssm","Ekonomi"
"37","JA","36","ssm","Ekonomi"
"38","JA","38","ssm","Ekonomi"
"39","JA","41","ssm","Ekonomi"
"40","JA","44","ssm","Ekonomi"
"41","JA","48","ssm","Ekonomi"
"42","JA","52","ssm","Ekonomi"
"43","KP","19","ssm","Ekonomi"
"44","KP","22","ssm","Ekonomi"
"45","KP","26","ssm","Ekonomi"
"46","KP","29","ssm","Ekonomi"
"47","KP","32","ssm","Ekonomi"
"48","KP","41","ssm","Ekonomi"
"49","LA","29","ssm","Ekonomi"
"50","LA","41","ssm","Ekonomi"
"51","LA","48","ssm","Ekonomi"
"52","LA","52","ssm","Ekonomi"
"53","NA","17","ssm","Ekonomi"
"54","NA","19","ssm","Ekonomi"
"55","NA","22","ssm","Ekonomi"
"56","NA","26","ssm","Ekonomi"
"57","NA","29","ssm","Ekonomi"
"58","NA","30","ssm","Ekonomi"
"59","NA","32","ssm","Ekonomi"
"60","NA","36","ssm","Ekonomi"
"61","NA","41","ssm","Ekonomi"
"62","NA","44","ssm","Ekonomi"
"63","NA","48","ssm","Ekonomi"
"64","NA","52","ssm","Ekonomi"
"65","NA","54","ssm","Ekonomi"
"66","NT","19","ssm","Ekonomi"
"67","NT","22","ssm","Ekonomi"
"68","NT","26","ssm","Ekonomi"
"69","NT","29","ssm","Ekonomi"
"70","NT","32","ssm","Ekonomi"
"71","QA","19","ssm","Ekonomi"
"72","QA","29","ssm","Ekonomi"
"73","SA","19","ssm","Ekonomi"
"74","SA","27","ssm","Ekonomi"
"75","SA","29","ssm","Ekonomi"
"76","SA","32","ssm","Ekonomi"
"77","SA","41","ssm","Ekonomi"
"78","SA","44","ssm","Ekonomi"
"79","SA","48","ssm","Ekonomi"
"80","SA","52","ssm","Ekonomi"
"81","UA","29","ssm","Ekonomi"
"82","UA","32","ssm","Ekonomi"
"83","VU","02","gred utama khas","Satu"
"84","VU","03","gred utama khas","Satu"
"85","VU","04","gred utama khas","Satu"
"86","VU","05","gred utama khas","Satu"
"87","VU","06","gred utama khas","Perniagaan"
"88","VU","07","gred utama khas","Perniagaan"
"89","VU","5","gred utama khas","Satu"
"90","VU","6","gred utama khas","Perniagaan"
"91","VU","7","gred utama khas","Perniagaan"
"92","WA","19","ssm","Ekonomi"
"93","WA","22","ssm","Ekonomi"
"94","WA","29","ssm","Ekonomi"
"95","WA","32","ssm","Ekonomi"
"96","WA","36","ssm","Ekonomi"
"97","WA","41","ssm","Ekonomi"
"98","WA","44","ssm","Ekonomi"
"99","WA","48","ssm","Ekonomi"
"100","WA","54","ssm","Ekonomi"
"101","WK","32","ssm","Ekonomi"
"102","A","1","sspa","Ekonomi"
"103","A","2","sspa","Ekonomi"
"104","A","5","sspa","Ekonomi"
"105","A","6","sspa","Ekonomi"
"106","A","7","sspa","Ekonomi"
"107","AA","01","sspa","Ekonomi"
"108","AL","10","sspa","Ekonomi"
"109","AL","12","sspa","Ekonomi"
"110","AL","9","sspa","Ekonomi"
"111","B","1","sspa","Ekonomi"
"112","B","10","sspa","Ekonomi"
"113","B","12","sspa","Ekonomi"
"114","B","2","sspa","Ekonomi"
"115","B","3","sspa","Ekonomi"
"116","B","5","sspa","Ekonomi"
"117","B","9","sspa","Ekonomi"
"118","C","1","sspa","Ekonomi"
"119","C","10","sspa","Ekonomi"
"120","C","12","sspa","Ekonomi"
"121","C","13","sspa","Ekonomi"
"122","C","14","sspa","Ekonomi"
"123","C","2","sspa","Ekonomi"
"124","C","3","sspa","Ekonomi"
"125","C","5","sspa","Ekonomi"
"126","C","6","sspa","Ekonomi"
"127","C","7","sspa","Ekonomi"
"128","C","9","sspa","Ekonomi"
"129","DG","1","sspa","Ekonomi"
"130","DG","10","sspa","Ekonomi"
