"","field","gred","skim","kelas"
"1","AA","19","ssm","Dua"
"2","AA","22","ssm","Dua"
"3","AA","48","ssm","Satu"
"4","AL","54","ssm","Satu"
"5","BA","19","ssm","Dua"
"6","BA","21","ssm","Dua"
"7","BA","22","ssm","Dua"
"8","BA","29","ssm","Satu"
"9","BA","41","ssm","Satu"
"10","CA","19","ssm","Dua"
"11","CA","41","ssm","Satu"
"12","DV","19","ssm","Dua"
"13","DV","29","ssm","Satu"
"14","DV","38","ssm","Satu"
"15","EA","22","ssm","Dua"
"16","EA","29","ssm","Satu"
"17","EA","41","ssm","Satu"
"18","FA","29","ssm","Satu"
"19","FA","32","ssm","Satu"
"20","FA","41","ssm","Satu"
"21","FT","19","ssm","Dua"
"22","GA","19","ssm","Dua"
"23","GA","22","ssm","Dua"
"24","GA","26","ssm","Dua"
"25","GA","29","ssm","Satu"
"26","GA","41","ssm","Satu"
"27","GA","44","ssm","Satu"
"28","GV","52","ssm","Satu"
"29","HA","19","ssm","Dua"
"30","HA","22","ssm","Dua"
"31","HA","26","ssm","Dua"
"32","JA","17","ssm","Dua"
"33","JA","19","ssm","Dua"
"34","JA","22","ssm","Dua"
"35","JA","26","ssm","Dua"
"36","JA","29","ssm","Satu"
"37","JA","36","ssm","Satu"
"38","JA","38","ssm","Satu"
"39","JA","41","ssm","Satu"
"40","JA","44","ssm","Satu"
"41","JA","48","ssm","Satu"
"42","JA","52","ssm","Satu"
"43","KP","19","ssm","Dua"
"44","KP","22","ssm","Dua"
"45","KP","26","ssm","Dua"
"46","KP","29","ssm","Satu"
"47","KP","32","ssm","Satu"
"48","KP","41","ssm","Satu"
"49","LA","29","ssm","Satu"
"50","LA","41","ssm","Satu"
"51","LA","48","ssm","Satu"
"52","LA","52","ssm","Satu"
"53","NA","17","ssm","Dua"
"54","NA","19","ssm","Dua"
"55","NA","22","ssm","Dua"
"56","NA","26","ssm","Dua"
"57","NA","29","ssm","Satu"
"58","NA","30","ssm","Satu"
"59","NA","32","ssm","Satu"
"60","NA","36","ssm","Satu"
"61","NA","41","ssm","Satu"
"62","NA","44","ssm","Satu"
"63","NA","48","ssm","Satu"
"64","NA","52","ssm","Satu"
"65","NA","54","ssm","Satu"
"66","NT","19","ssm","Dua"
"67","NT","22","ssm","Dua"
"68","NT","26","ssm","Dua"
"69","NT","29","ssm","Satu"
"70","NT","32","ssm","Satu"
"71","QA","19","ssm","Dua"
"72","QA","29","ssm","Satu"
"73","SA","19","ssm","Dua"
"74","SA","27","ssm","Satu"
"75","SA","29","ssm","Satu"
"76","SA","32","ssm","Satu"
"77","SA","41","ssm","Satu"
"78","SA","44","ssm","Satu"
"79","SA","48","ssm","Satu"
"80","SA","52","ssm","Satu"
"81","UA","29","ssm","Satu"
"82","UA","32","ssm","Satu"
"83","VU","02","gred utama khas","Satu"
"84","VU","03","gred utama khas","Satu"
"85","VU","04","gred utama khas","Satu"
"86","VU","05","gred utama khas","Satu"
"87","VU","06","gred utama khas","Satu"
"88","VU","07","gred utama khas","Satu"
"89","VU","5","gred utama khas","Satu"
"90","VU","6","gred utama khas","Satu"
"91","VU","7","gred utama khas","Satu"
"92","WA","19","ssm","Dua"
"93","WA","22","ssm","Dua"
"94","WA","29","ssm","Satu"
"95","WA","32","ssm","Satu"
"96","WA","36","ssm","Satu"
"97","WA","41","ssm","Satu"
"98","WA","44","ssm","Satu"
"99","WA","48","ssm","Satu"
"100","WA","54","ssm","Satu"
"101","WK","32","ssm","Satu"
"102","A","1","sspa","Dua"
"103","A","2","sspa","Dua"
"104","A","5","sspa","Satu"
"105","A","6","sspa","Satu"
"106","A","7","sspa","Satu"
"107","AA","01","sspa","Dua"
"108","AL","10","sspa","Satu"
"109","AL","12","sspa","Satu"
"110","AL","9","sspa","Satu"
"111","B","1","sspa","Dua"
"112","B","10","sspa","Satu"
"113","B","12","sspa","Satu"
"114","B","2","sspa","Dua"
"115","B","3","sspa","Dua"
"116","B","5","sspa","Satu"
"117","B","9","sspa","Satu"
"118","C","1","sspa","Dua"
"119","C","10","sspa","Satu"
"120","C","12","sspa","Satu"
"121","C","13","sspa","Satu"
"122","C","14","sspa","Satu"
"123","C","2","sspa","Dua"
"124","C","3","sspa","Dua"
"125","C","5","sspa","Satu"
"126","C","6","sspa","Satu"
"127","C","7","sspa","Satu"
"128","C","9","sspa","Satu"
"129","DG","1","sspa","Dua"
"130","DG","10","sspa","Satu"
"131","DG","12","sspa","Satu"
"132","DG","4","sspa","Satu"
"133","DG","5","sspa","Satu"
"134","DG","6","sspa","Satu"
"135","DG","9","sspa","Satu"
"136","DV","1","sspa","Dua"
"137","E","1","sspa","Dua"
"138","E","10","sspa","Satu"
"139","E","12","sspa","Satu"
"140","E","14","sspa","Satu"
"141","E","2","sspa","Dua"
"142","E","5","sspa","Satu"
"143","E","6","sspa","Satu"
"144","E","9","sspa","Satu"
"145","F","10","sspa","Satu"
"146","F","12","sspa","Satu"
"147","F","13","sspa","Satu"
"148","F","14","sspa","Satu"
"149","F","5","sspa","Satu"
"150","F","6","sspa","Satu"
"151","F","7","sspa","Satu"
"152","F","9","sspa","Satu"
"153","FT","1","sspa","Dua"
"154","FT","2","sspa","Dua"
"155","FT","3","sspa","Dua"
"156","G","1","sspa","Dua"
"157","G","10","sspa","Satu"
"158","G","11","sspa","Satu"
"159","G","12","sspa","Satu"
"160","G","13","sspa","Satu"
"161","G","14","sspa","Satu"
"162","G","2","sspa","Dua"
"163","G","3","sspa","Dua"
"164","G","5","sspa","Satu"
"165","G","6","sspa","Satu"
"166","G","7","sspa","Satu"
"167","G","9","sspa","Satu"
"168","GA","11","sspa","Satu"
"169","GA","14","sspa","Satu"
"170","GV","10","sspa","Satu"
"171","GV","12","sspa","Satu"
"172","GV","13","sspa","Satu"
"173","GV","14","sspa","Satu"
"174","GV","9","sspa","Satu"
"175","H","1","sspa","Dua"
"176","H","11","sspa","Satu"
"177","H","2","sspa","Dua"
"178","H","3","sspa","Dua"
"179","HA","11","sspa","Satu"
"180","HA","14","sspa","Satu"
"181","J","1","sspa","Dua"
"182","J","10","sspa","Satu"
"183","J","12","sspa","Satu"
"184","J","13","sspa","Satu"
"185","J","14","sspa","Satu"
"186","J","2","sspa","Dua"
"187","J","3","sspa","Dua"
"188","J","5","sspa","Satu"
"189","J","6","sspa","Satu"
"190","J","7","sspa","Satu"
"191","J","9","sspa","Satu"
"192","JA","1","sspa","Dua"
"193","K","1","sspa","Dua"
"194","K","2","sspa","Dua"
"195","K","5","sspa","Satu"
"196","KP","1","sspa","Dua"
"197","KP","10","sspa","Satu"
"198","KP","11","sspa","Satu"
"199","KP","12","sspa","Satu"
"200","KP","14","sspa","Satu"
"201","KP","2","sspa","Dua"
"202","KP","3","sspa","Dua"
"203","KP","5","sspa","Satu"
"204","KP","6","sspa","Satu"
"205","KP","7","sspa","Satu"
"206","KP","9","sspa","Satu"
"207","KR","14","sspa","Satu"
"208","L","1","sspa","Dua"
"209","L","10","sspa","Satu"
"210","L","12","sspa","Satu"
"211","L","13","sspa","Satu"
"212","L","14","sspa","Satu"
"213","L","2","sspa","Dua"
"214","L","3","sspa","Dua"
"215","L","5","sspa","Satu"
"216","L","6","sspa","Satu"
"217","L","7","sspa","Satu"
"218","L","9","sspa","Satu"
"219","LS","12","sspa","Satu"
"220","LS","5","sspa","Satu"
"221","LS","6","sspa","Satu"
"222","LS","9","sspa","Satu"
"223","N","1","sspa","Dua"
"224","N","10","sspa","Satu"
