Jawatan,Gred
Ahli Muzik,B1
Ahli Muzik,B2
Ahli Muzik,B5
Akauntan,W10
Akauntan,W12
Akauntan,W13
Akauntan,W14
Akauntan,W9
Akauntan,WA10
Akauntan,WA12
Akauntan,WA41
Akauntan,WA44
Akauntan,WA54
Akauntan,WA9
Arkitek,J10
Arkitek,J12
Arkitek,J9
Arkitek,JA44
Arkitek,JA52
Arkitek Landskap,J10
Arkitek Landskap,J12
Arkitek Landskap,J9
Arkitek Landskap,JA41
Arkitek Landskap,JA44
Artis Budaya,B1
Artis Budaya,B5
Juruaudit,W10
Juruaudit,W12
Juruaudit,W9
Juruaudit,WA41
Juruaudit,WA44
Jurubahasa,L2
Jurufotografi,B1
Jurufotografi,B2
Jurufotografi,B3
Jurufotografi,BA19
Jurufotografi,BA21
Jurufotografi,BA22
Jurufotografi,BA29
Jurugeospatial,J9
Juruiring(Terbuka),YA05
Juruiring(Terbuka),YA10
Jurupulih Perubatan,U5
Jurupulih Perubatan,U6
Jururawat,U5
Jururawat,U6
Jururawat Masyarakat,U1
Juruteknik,J1
Juruteknik,JA17
Juruteknik,JA22
Juruteknik,JA26
Juruteknik Komputer,F5
Juruteknik Komputer,FT1
Juruteknik Komputer,FT19
Juruteknik Komputer,FT2
Juruteknik Komputer,FT3
Juruteknik Pertanian Rendah,G11
Juruteknik Ukur,J2
Juruteknik Ukur,JA19
Juruteknik Ukur,JA22
Jurutera,J10
Jurutera,J12
Jurutera,J13
Jurutera,J14
Jurutera,J9
Jurutera,JA19
Jurutera,JA41
Jurutera,JA44
Jurutera,JA48
Juruukur,J10
Juruukur,J12
Juruukur,J13
Juruukur,J9
Juruukur,JA41
Juruukur,JA44
Juruukur,VU7
Juruukur Bahan,J10
Juruukur Bahan,J12
Juruukur Bahan,J13
Juruukur Bahan,J9
Juruukur Bahan,JA41
Juruukur Bahan,JA44
Juruukur Bangunan,J9
Kelasi/Jurumudi,H1
Kurator,B9
Kurator,S10
Kurator,S12
Kurator,S9
Operator Wayarles,NA19
Pegawai Arkib,S12
Pegawai Belia Dan Sukan,S10
Pegawai Belia Dan Sukan,SA32
Pegawai Belia Dan Sukan,SA41
Pegawai Ehwal Ekonomi,E10
Pegawai Ehwal Ekonomi,E12
Pegawai Ehwal Ekonomi,E14
Pegawai Ehwal Ekonomi,E9
Pegawai Ehwal Ekonomi,EA41
Pegawai Geosains,C12
Pegawai Geosains,CA41
Pegawai Hal Ehwal Islam,S1
Pegawai Hal Ehwal Islam,S10
Pegawai Hal Ehwal Islam,S12
Pegawai Hal Ehwal Islam,S9
Pegawai Hal Ehwal Islam,SA41
Pegawai Hal Ehwal Islam,SA44
Pegawai Hal Ehwal Islam,SA52
Pegawai Hal Ehwal Islam,VU5
Pegawai Hidupan Liar,G10
Pegawai Hidupan Liar,G12
Pegawai Hidupan Liar,G9
Pegawai Hidupan Liar,GA41
Pegawai Hidupan Liar,GA44
Pegawai Kawalan Alam Sekitar,C10
Pegawai Kawalan Alam Sekitar,C12
Pegawai Kawalan Alam Sekitar,C13
Pegawai Kawalan Alam Sekitar,C14
Pegawai Kawalan Alam Sekitar,C9
Pegawai Kebudayaan,B10
Pegawai Kebudayaan,B12
Pegawai Kebudayaan,B2
Pegawai Kebudayaan,B5
Pegawai Kebudayaan,B9
Pegawai Kebudayaan,BA41
Pegawai Kemajuan Masyarakat,SA19
Pegawai Kemajuan Masyarakat,SA27
Pegawai Keselamatan,KP1
Pegawai Keselamatan,KP10
Pegawai Keselamatan,KP11
Pegawai Keselamatan,KP9
Pegawai Kewangan,W10
Pegawai Kewangan,W12
Pegawai Kewangan,W9
Pegawai Kewangan,WA41
Pegawai Kewangan,WA48
Pegawai Khidmat Pelanggan,N1
Pegawai Khidmat Pelanggan,N2
Pegawai Khidmat Pelanggan,NA19
Pegawai Khidmat Pelanggan,NA22
Pegawai Latihan,E9
Pegawai Laut,AL10
Pegawai Laut,AL12
Pegawai Laut,AL54
Pegawai Laut,AL9
Pegawai Pembangunan Masyarakat,S10
Pegawai Pembangunan Masyarakat,S12
Pegawai Pembangunan Masyarakat,S13
Pegawai Pembangunan Masyarakat,S9
Pegawai Pembangunan Masyarakat,SA41
Pegawai Pembangunan Masyarakat,SA48
Pegawai Penerangan,S10
Pegawai Penerangan,SA41
Pegawai Penguatkuasa,KP10
Pegawai Penguatkuasa,KP12
Pegawai Penguatkuasa,KP41
Pegawai Penguatkuasa,KP9
Pegawai Penilaian,W10
Pegawai Penilaian,W12
Pegawai Penilaian,W9
Pegawai Penilaian,WA48
Pegawai Penyediaan Makanan,U10
Pegawai Penyelidik,N9
Pegawai Penyelidik,Q10
Pegawai Penyelidik,Q12
Pegawai Penyelidik,Q13
Pegawai Penyelidik,Q14
Pegawai Penyelidik,Q9
Pegawai Penyelidik Sosial,NA41
Pegawai Perancang Bandar Dan Desa,J10
Pegawai Perancang Bandar Dan Desa,J12
Pegawai Perancang Bandar Dan Desa,J9
Pegawai Perikanan,G10
Pegawai Perikanan,G12
Pegawai Perikanan,G13
Pegawai Perikanan,G9
Pegawai Perikanan,VU7
Pegawai Perkhidmatan Pendidikan,DG5
Pegawai Perkhidmatan Pendidikan,DG6
Pegawai Perkhidmatan Pendidikan Bukan Siswazah,DG1
Pegawai Perkhidmatan Pendidikan Bukan Siswazah,DG4
Pegawai Perkhidmatan Pendidikan Lepasan Diploma,DG5
Pegawai Perkhidmatan Pendidikan Lepasan Diploma,DG6
Pegawai Perkhidmatan Pendidikan Siswazah,DG10
Pegawai Perkhidmatan Pendidikan Siswazah,DG12
Pegawai Perkhidmatan Pendidikan Siswazah,DG9
Pegawai Pertanian,G10
Pegawai Pertanian,G12
Pegawai Pertanian,G13
Pegawai Pertanian,G14
Pegawai Pertanian,G9
Pegawai Pertanian,GA41
Pegawai Pertanian,VU07
Pegawai Psikologi,S9
Pegawai Rendah Polis dan Konstabel,Y4
Pegawai Rendah Polis dan Konstabel,Y5
Pegawai Sains,C10
Pegawai Sains,C9
Pegawai Sains,CA41
Pegawai Syariah,LS12
